events/idEvent,events/idSoccerXML,events/idAPIfootball,events/strEvent,events/strEventAlternate,events/strFilename,events/strSport,events/idLeague,events/strLeague,events/strSeason,events/strDescriptionEN,events/strHomeTeam,events/strAwayTeam,events/intHomeScore,events/intRound,events/intAwayScore,events/intSpectators,events/strOfficial,events/strTimestamp,events/dateEvent,events/dateEventLocal,events/strTime,events/strTimeLocal,events/strTVStation,events/idHomeTeam,events/idAwayTeam,events/intScore,events/intScoreVotes,events/strResult,events/strVenue,events/strCountry,events/strCity,events/strPoster,events/strSquare,events/strFanart,events/strThumb,events/strBanner,events/strMap,events/strTweet1,events/strTweet2,events/strTweet3,events/strVideo,events/strStatus,events/strPostponed,events/strLocked
1032693,,592142,Crystal Palace vs Southampton,Southampton @ Crystal Palace,English Premier League 2020-09-12 Crystal Palace vs Southampton,Soccer,4328,English Premier League,2020-2021,"Crystal Palace and Southampton collide on the opening weekend of the new Premier League season. The two performed very differently after last season's restart, with Southampton one of the most in-form teams, while Palace lost seven of its last eight.",Crystal Palace,Southampton,1,1,0,,,2020-09-12T14:00:00+00:00,2020-09-12,2020-09-12,14:00:00,15:00:00,,133632,134778,,,,Selhurst Park,England,London,,,,https://www.thesportsdb.com/images/media/event/thumb/ulnr631598809895.jpg,,,,,,https://www.youtube.com/watch?v=RPYzne1OcEs,Match Finished,no,unlocked
1032694,,592143,Fulham vs Arsenal,Arsenal @ Fulham,English Premier League 2020-09-12 Fulham vs Arsenal,Soccer,4328,English Premier League,2020-2021,Newly-promoted Fulham's Premier League adventure begins with a London derby against Arsenal at Craven Cottage. Mikel Arteta begins his first full season in charge of the Gunners and has bolstered his squad by signing Willian from Chelsea.,Fulham,Arsenal,0,1,3,,,2020-09-12T11:30:00+00:00,2020-09-12,2020-09-12,11:30:00,12:30:00,,133600,133604,,,,Craven Cottage,England,London,,,,https://www.thesportsdb.com/images/media/event/thumb/i6b12v1598810480.jpg,,,,,,https://www.youtube.com/watch?v=Ebrz6ZKSHAI,Match Finished,no,unlocked
1032695,,592144,Liverpool vs Leeds,Leeds @ Liverpool,English Premier League 2020-09-12 Liverpool vs Leeds,Soccer,4328,English Premier League,2020-2021,"Leeds United faces a big test on its long-awaited return to the Premier League as it takes on defending champion, Liverpool. Jurgen Klopp's men are well-rested, unlike other title contenders, as they didn't play the UEFA Champions League in August.",Liverpool,Leeds,4,1,3,,,2020-09-12T16:30:00+00:00,2020-09-12,2020-09-12,16:30:00,17:30:00,,133602,133635,,,,Anfield,England,Liverpool,,,,https://www.thesportsdb.com/images/media/event/thumb/p94oxt1598810990.jpg,,,,,,https://www.youtube.com/watch?v=8WBfyjt7rP8,Match Finished,no,unlocked
1032699,,592148,West Ham vs Newcastle,Newcastle @ West Ham,English Premier League 2020-09-12 West Ham vs Newcastle,Soccer,4328,English Premier League,2020-2021,"After spending much of last season battling relegation, West Ham United and Newcastle United begin the new season in search of a fresh start. The Magpies continue life under long-term owner Mike Ashley after their proposed offseason sale fell through.",West Ham,Newcastle,0,1,2,,,2020-09-12T19:00:00+00:00,2020-09-12,2020-09-12,19:00:00,20:00:00,,133636,134777,,,,London Stadium,England,London,,,,https://www.thesportsdb.com/images/media/event/thumb/hu4ojq1598814155.jpg,,,,,,https://www.youtube.com/watch?v=j2RfDriUcpo,Match Finished,no,unlocked
1032697,,592146,Tottenham vs Everton,Everton @ Tottenham,English Premier League 2020-09-13 Tottenham vs Everton,Soccer,4328,English Premier League,2020-2021,"Two titans of world soccer collide on the opening weekend as Jose Mourinho's Tottenham Hotspur takes on Carlo Ancelotti's Everton. Spurs striker Harry Kane has an impressive record against Everton, scoring nine goals in 10 games.",Tottenham,Everton,0,1,1,,,2020-09-13T15:30:00+00:00,2020-09-13,2020-09-13,15:30:00,16:30:00,,133616,133615,,,,Tottenham Hotspur Stadium,England,London,,,,https://www.thesportsdb.com/images/media/event/thumb/1t2jhn1598812126.jpg,,,,,,https://www.youtube.com/watch?v=ECLfH4EzFDI,Match Finished,no,unlocked
1032698,,592147,West Brom vs Leicester,Leicester @ West Brom,English Premier League 2020-09-13 West Brom vs Leicester,Soccer,4328,English Premier League,2020-2021,Reigning Premier League Golden Boot winner Jamie Vardy looks to make a fast start to the season as Leicester City heads on the road to face newly-promoted West Bromwich Albion. The Foxes are aiming to build on last season's superb 5th-place finish.,West Brom,Leicester,0,1,3,,,2020-09-13T13:00:00+00:00,2020-09-13,2020-09-13,13:00:00,14:00:00,,133611,133626,,,,The Hawthorns,England,West Bromwich,,,,https://www.thesportsdb.com/images/media/event/thumb/rsfadt1598813085.jpg,,,,,,https://www.youtube.com/watch?v=IFW06uHkXkw,Match Finished,no,unlocked
1032700,,592149,Brighton vs Chelsea,Chelsea @ Brighton,English Premier League 2020-09-14 Brighton vs Chelsea,Soccer,4328,English Premier League,2020-2021,Graham Potter’s Brighton and Hove Albion avoided relegation last season with a steely resilience to not be beaten. Such durability was showcased against Chelsea at AMEX Stadium as Alireza Jahanbakhsh’s bicycle kick secured a point for the Seagulls.,Brighton,Chelsea,1,1,3,,,2020-09-14T19:15:00+00:00,2020-09-14,2020-09-14,19:15:00,20:15:00,,133619,133610,,,,The American Express Community Stadium,England,,,,,https://www.thesportsdb.com/images/media/event/thumb/53vuln1598814412.jpg,,,,,,https://www.youtube.com/watch?v=WKl8ineApqM,Match Finished,no,unlocked
1032701,,592150,Sheffield United vs Wolves,Wolves @ Sheffield United,English Premier League 2020-09-14 Sheffield United vs Wolves,Soccer,4328,English Premier League,2020-2021,Sheffield United and Wolverhampton Wanderers begin their season by going head-to-head at Bramall Lane. Both teams were in the hunt for European qualification for most of last season but missed out after falling away in the final couple of weeks.,Sheffield United,Wolves,0,1,2,,,2020-09-14T17:00:00+00:00,2020-09-14,2020-09-14,17:00:00,18:00:00,,133811,133599,,,,Bramall Lane,England,Sheffield,,,,https://www.thesportsdb.com/images/media/event/thumb/phmff41598814736.jpg,,,,,,https://www.youtube.com/watch?v=YoAcazj2HEI,Match Finished,no,unlocked
1032702,,592151,Arsenal vs West Ham,West Ham @ Arsenal,English Premier League 2020-09-19 Arsenal vs West Ham,Soccer,4328,English Premier League,2020-2021,"An all-London clash at Emirates Stadium as Arsenal hosts West Ham United. Gunners boss Mikel Arteta is looking to build on a successful first nine months in charge, which saw his team win the FA Cup and Community Shield in the last two months.",Arsenal,West Ham,2,2,1,,,2020-09-19T19:00:00+00:00,2020-09-19,2020-09-20,19:00:00,20:00:00,,133604,133636,,,,Emirates Stadium,England,London,,,,https://www.thesportsdb.com/images/media/event/thumb/9kuh7v1600506145.jpg,,,,,,https://www.youtube.com/watch?v=_MAm4sVkWXI,Match Finished,no,unlocked
1032705,,592154,Everton vs West Brom,West Brom @ Everton,English Premier League 2020-09-19 Everton vs West Brom,Soccer,4328,English Premier League,2020-2021,"Everton faces newly-promoted West Bromwich Albion at Goodison Park. After a disappointing 12th-place finish last season, Carlo Ancelotti will be looking to get his team back in the top half of tha table and secure a European qualification spot.",Everton,West Brom,5,2,2,,,2020-09-19T11:30:00+00:00,2020-09-19,2020-09-19,11:30:00,12:30:00,,133615,133611,,,,Goodison Park,England,Liverpool,,,,https://www.thesportsdb.com/images/media/event/thumb/mo6b9s1600504043.jpg,,,,,,https://www.youtube.com/watch?v=UHbSE65m6j4,Match Finished,no,unlocked
