id_partido;nombre_partido;partido_torneo;IdLiga;torneo;temporada;descripcion_partido;EquipoLocal;EquipoVisitante;GolLocal;fecha_torneo;GolVisitante;espectadores;fecha_hora_partido;fecha_partido;hora_partido;fecha_hora_partido;Id_EquipoLocal;Id_EquipoVisitante;estadio;pais;ciudad;poster_partido;imagen_partido;partido_fanart;partido_thumb;partido_banner;partido_video;estado_partido;partido_pospuesto
508731;Hull vs Leicester;English Premier League 2016-08-13 Hull vs Leicester;4328;English Premier League;2016-2017;;Hull;Leicester;2;1;1;0;;13/8/2016;11:30:00+00:00;;133617;133626;;;;;;;;;;;no
508732;Crystal Palace vs West Brom;English Premier League 2016-08-13 Crystal Palace vs West Brom;4328;English Premier League;2016-2017;;Crystal Palace;West Brom;0;1;1;0;;13/8/2016;14:00:00+00:00;;133632;133611;;;;;;;;;;;no
508733;Everton vs Tottenham;English Premier League 2016-08-13 Everton vs Tottenham;4328;English Premier League;2016-2017;;Everton;Tottenham;1;1;1;0;;13/8/2016;14:00:00+00:00;;133615;133616;;;;;;;;;;;no
508734;Middlesbrough vs Stoke;English Premier League 2016-08-13 Middlesbrough vs Stoke;4328;English Premier League;2016-2017;;Middlesbrough;Stoke;1;1;1;0;;13/8/2016;14:00:00+00:00;;133628;133609;;;;;;;;;;;no
508735;Burnley vs Swansea;English Premier League 2016-08-13 Burnley vs Swansea;4328;English Premier League;2016-2017;;Burnley;Swansea;0;1;1;0;;13/8/2016;14:00:00+00:00;;133623;133614;;;;;;;;;;;no
508736;Southampton vs Watford;English Premier League 2016-08-13 Southampton vs Watford;4328;English Premier League;2016-2017;;Southampton;Watford;1;1;1;0;;13/8/2016;14:00:00+00:00;;134778;133624;;;;;;;;;;;no
508737;Man City vs Sunderland;English Premier League 2016-08-13 Manchester City vs Sunderland;4328;English Premier League;2016-2017;;Manchester City;Sunderland;2;1;1;0;;13/8/2016;16:30:00+00:00;;133613;133603;;;;;;;;;;;no
508738;Bournemouth vs Man United;English Premier League 2016-08-14 Bournemouth vs Manchester United;4328;English Premier League;2016-2017;;Bournemouth;Manchester United;1;1;3;0;;14/8/2016;12:30:00+00:00;;134301;133612;;;;;;;;;;;no
508739;Arsenal vs Liverpool;English Premier League 2016-08-14 Arsenal vs Liverpool;4328;English Premier League;2016-2017;;Arsenal;Liverpool;3;1;4;0;;14/8/2016;15:00:00+00:00;;133604;133602;;;;;;;;;;;no
508740;Chelsea vs West Ham;English Premier League 2016-08-15 Chelsea vs West Ham;4328;English Premier League;2016-2017;;Chelsea;West Ham;2;1;1;0;;15/8/2016;19:00:00+00:00;;133610;133636;;;;;;;;;;;no
508741;Man United vs Southampton;English Premier League 2016-08-19 Manchester United vs Southampton;4328;English Premier League;2016-2017;;Manchester United;Southampton;2;2;0;0;;19/8/2016;19:00:00+00:00;;133612;134778;;;;;;;;;;;no
508742;Stoke vs Man City;English Premier League 2016-08-20 Stoke vs Manchester City;4328;English Premier League;2016-2017;;Stoke;Manchester City;1;2;4;0;;20/8/2016;11:30:00+00:00;;133609;133613;;;;;;;;;;;no
508743;Swansea vs Hull;English Premier League 2016-08-20 Swansea vs Hull;4328;English Premier League;2016-2017;;Swansea;Hull;0;2;2;0;;20/8/2016;14:00:00+00:00;;133614;133617;;;;;;;;;;;no
508744;Burnley vs Liverpool;English Premier League 2016-08-20 Burnley vs Liverpool;4328;English Premier League;2016-2017;;Burnley;Liverpool;2;2;0;0;;20/8/2016;14:00:00+00:00;;133623;133602;;;;;;;;;;;no
508745;Tottenham vs Crystal Palace;English Premier League 2016-08-20 Tottenham vs Crystal Palace;4328;English Premier League;2016-2017;;Tottenham;Crystal Palace;1;2;0;0;;20/8/2016;14:00:00+00:00;;133616;133632;;;;;;;;;;;no
508746;Watford vs Chelsea;English Premier League 2016-08-20 Watford vs Chelsea;4328;English Premier League;2016-2017;;Watford;Chelsea;1;2;2;0;;20/8/2016;14:00:00+00:00;;133624;133610;;;;;;;;;;;no
508747;West Brom vs Everton;English Premier League 2016-08-20 West Brom vs Everton;4328;English Premier League;2016-2017;;West Brom;Everton;1;2;2;0;;20/8/2016;14:00:00+00:00;;133611;133615;;;;;;;;;;;no
508748;Leicester vs Arsenal;English Premier League 2016-08-20 Leicester vs Arsenal;4328;English Premier League;2016-2017;;Leicester;Arsenal;0;2;0;0;;20/8/2016;16:30:00+00:00;;133626;133604;;;;;;;;;;;no
508749;Sunderland vs Middlesbrough;English Premier League 2016-08-21 Sunderland vs Middlesbrough;4328;English Premier League;2016-2017;;Sunderland;Middlesbrough;1;2;2;0;;21/8/2016;12:30:00+00:00;;133603;133628;;;;;;;;;;;no
508750;West Ham vs Bournemouth;English Premier League 2016-08-21 West Ham vs Bournemouth;4328;English Premier League;2016-2017;;West Ham;Bournemouth;1;2;0;0;;21/8/2016;15:00:00+00:00;;133636;134301;;;;;;;;;;;no
508751;Tottenham vs Liverpool;English Premier League 2016-08-27 Tottenham vs Liverpool;4328;English Premier League;2016-2017;;Tottenham;Liverpool;1;3;1;0;;27/8/2016;11:30:00+00:00;;133616;133602;;;;;;;;;;;no
508752;Southampton vs Sunderland;English Premier League 2016-08-27 Southampton vs Sunderland;4328;English Premier League;2016-2017;;Southampton;Sunderland;1;3;1;0;;27/8/2016;14:00:00+00:00;;134778;133603;;;;;;;;;;;no
508753;Chelsea vs Burnley;English Premier League 2016-08-27 Chelsea vs Burnley;4328;English Premier League;2016-2017;;Chelsea;Burnley;3;3;0;0;;27/8/2016;14:00:00+00:00;;133610;133623;;;;;;;;;;;no
508754;Crystal Palace vs Bournemouth;English Premier League 2016-08-27 Crystal Palace vs Bournemouth;4328;English Premier League;2016-2017;;Crystal Palace;Bournemouth;1;3;1;0;;27/8/2016;14:00:00+00:00;;133632;134301;;;;;;;;;;;no
